full_address,latitude,longitude,location_type
"81 ELIZABETH STREET, NEW YORK, NY 10013, USA",40.718033,-73.996223,ROOFTOP
"254 CANAL ST, NEW YORK, NY 10013, USA",40.7183984,-74.0008847,ROOFTOP
"5 HARRISON ST, NEW YORK, NY 10013, USA",40.7184999,-74.0092864,ROOFTOP
"138 DELANCEY ST, NEW YORK, NY 10002, USA",40.7185909,-73.9868266,ROOFTOP
"123 LAFAYETTE ST, NEW YORK, NY 10013, USA",40.7186773,-74.00002719999999,ROOFTOP
"268 CANAL ST, NEW YORK, NY 10013, USA",40.718749,-74.00132839999999,ROOFTOP
"126 LAFAYETTE ST, NEW YORK, NY 10013, USA",40.7188683,-74.00043509999999,ROOFTOP
"265 CANAL ST, NEW YORK, NY 10013, USA",40.71906320000001,-74.0008623,ROOFTOP
"179 FRANKLIN ST UNIT 4R, NEW YORK, NY 10013, USA",40.7191955,-74.0095619,ROOFTOP
"184 ELDRIDGE ST, NEW YORK, NY 10002, USA",40.7203192,-73.9905807,ROOFTOP
"186 NORFOLK ST APT 2D, NEW YORK, NY 10002, USA",40.7215088,-73.9856566,ROOFTOP
"279 E 3RD ST, NEW YORK, NY 10009, USA",40.7215718,-73.9800563,ROOFTOP
"255 E HOUSTON ST, NEW YORK, NY 10002, USA",40.7216329,-73.9849528,ROOFTOP
"256 WEST ST, NEW YORK, NY 10013, USA",40.7224776,-74.0113293,ROOFTOP
"227 MULBERRY ST BSMT, NEW YORK, NY 10012, USA",40.7225449,-73.9961509,ROOFTOP
"24 PRINCE ST APT 4, NEW YORK, NY 10012, USA",40.7227188,-73.9946416,ROOFTOP
"114 E 1ST ST APT 7, NEW YORK, NY 10009, USA",40.72274540000001,-73.9866104,ROOFTOP
"101 6TH AVE FL 3, NEW YORK, NY 10013, USA",40.723405,-74.0052457,ROOFTOP
"540 E 5TH ST, NEW YORK, NY 10009, USA",40.7240323,-73.9827537,ROOFTOP
"121 AVENUE OF THE AMERICAS, NEW YORK, NY 10013, USA",40.7240978,-74.0052743,ROOFTOP
"557 BROADWAY, NEW YORK, NY 10012, USA",40.7241131,-73.998334,ROOFTOP
"584 BROADWAY, NEW YORK, NY 10012, USA",40.7245682,-73.9970222,ROOFTOP
"594 BROADWAY RM 1207, NEW YORK, NY 10012, USA",40.7248688,-73.9968682,ROOFTOP
"594 BROADWAY, NEW YORK, NY 10012, USA",40.7249076,-73.9969964,ROOFTOP
"598 BROADWAY, NEW YORK, NY 10012, USA",40.72491300000001,-73.99636319999999,ROOFTOP
"178 E 7TH ST, NEW YORK, NY 10009, USA",40.7250765,-73.9816951,ROOFTOP
"497 GREENWICH ST, NEW YORK, NY 10013, USA",40.7253596,-74.0090077,ROOFTOP
"96 E 4TH ST, NEW YORK, NY 10003, USA",40.7257002,-73.9888447,ROOFTOP
"8 E 3RD ST, NEW YORK, NY 10003, USA",40.7258567,-73.9910376,ROOFTOP
"611 BROADWAY, NEW YORK, NY 10012, USA",40.7258991,-73.9966034,ROOFTOP
"97 E 4TH ST, NEW YORK, NY 10003, USA",40.726009,-73.9886497,ROOFTOP
"636 BROADWAY FL 2, NEW YORK, NY 10012, USA",40.7260458,-73.9954338,ROOFTOP
"315 HUDSON ST, NEW YORK, NY 10013, USA",40.7261772,-74.00766899999999,ROOFTOP
"80 VANDAM ST, NEW YORK, NY 10013, USA",40.7265646,-74.0078844,ROOFTOP
"654 BROADWAY, NEW YORK, NY 10012, USA",40.7268138,-73.9951731,ROOFTOP
"100 2ND AVE, NEW YORK, NY 10003, USA",40.7270657,-73.98824979999999,ROOFTOP
"57 SAINT MARKS PL, NEW YORK, NY 10003, USA",40.72836239999999,-73.98634729999999,ROOFTOP
"215 THOMPSON ST STE 125, NEW YORK, NY 10012, USA",40.72909490000001,-73.9994191,ROOFTOP
"734 BROADWAY APT 1, NEW YORK, NY 10003, USA",40.7295204,-73.9929317,ROOFTOP
"1 1ST AVE, NEW YORK, NY 10003, USA",40.7300331,-73.9833235,ROOFTOP
"33 CARMINE ST # 2, NEW YORK, NY 10014, USA",40.7302914,-74.0032496,ROOFTOP
"331 6TH AVE, NEW YORK, NY 10014, USA",40.7314195,-74.00147249999999,ROOFTOP
"31 WASHINGTON SQ W, NEW YORK, NY 10011, USA",40.7319112,-73.9990833,ROOFTOP
"310 EAST 14TH STREET, NEW YORK, NY 10003, USA",40.7319493,-73.9845869,ROOFTOP
"310 EAST 14TH STREET, NEW YORK CITY, NY 10003, USA",40.7319493,-73.9845869,ROOFTOP
"16TH STREET FIRST AVENUE, NEW YORK, NY 10003, USA",40.732686,-73.9816218,GEOMETRIC_CENTER
"1ST AVE AT 16TH STREET, NEW YORK, NY 10003, USA",40.732686,-73.9816218,GEOMETRIC_CENTER
"16TH STREET AND FIRST AVE, NEW YORK, NY 10003, USA",40.732686,-73.9816218,GEOMETRIC_CENTER
"216 E 14TH ST, NEW YORK, NY 10003, USA",40.7327835,-73.9866134,ROOFTOP
"281 1ST AVE, NEW YORK, NY 10003, USA",40.7328669,-73.9817051,ROOFTOP
"52 E 11TH ST, NEW YORK, NY 10003, USA",40.7328794,-73.9928108,ROOFTOP
"10 NATHAN D PERLMAN PLACE, SUITE 12S34, NY 10003, USA",40.7330104,-73.98318379999999,ROOFTOP
"10 NATHAN D PERLMAN PL, NEW YORK, NY 10003, USA",40.7330104,-73.98318379999999,ROOFTOP
"817 BROADWAY, NEW YORK, NY 10003, USA",40.7331293,-73.9913302,ROOFTOP
"350 E 17TH STREET 18TH FLOOR, NEW YORK, NY 10003, USA",40.7331694,-73.98158649999999,ROOFTOP
"30 5TH AVE, NEW YORK, NY 10011, USA",40.7333625,-73.99576239999999,ROOFTOP
"30 FIFTH AVENUE, NEW YORK, NY 10011, USA",40.7333625,-73.99576239999999,ROOFTOP
"531 E 20TH ST APT 11E, NEW YORK, NY 10010, USA",40.733726,-73.9766264,ROOFTOP
